videoFile,genderCode,genderCorAns,emotionCode,emotionCorAns
videosMale/UCLAPLD_12_AN.mp4,M,0,A,1
videosMale/UCLAPLD_12_H.mp4,M,0,H,5
videosMale/UCLAPLD_12_SD.mp4,M,0,S,0
videosMale/UCLAPLD_13_AN.mp4,M,0,A,1
videosMale/UCLAPLD_13_H.mp4,M,0,H,5
videosMale/UCLAPLD_13_SD.mp4,M,0,S,0
videosMale/UCLAPLD_16_AN.mp4,M,0,A,1
videosMale/UCLAPLD_16_H.mp4,M,0,H,5
videosMale/UCLAPLD_16_SD.mp4,M,0,S,0
videosMale/UCLAPLD_19_AN.mp4,M,0,A,1
videosMale/UCLAPLD_19_H.mp4,M,0,H,5
videosMale/UCLAPLD_19_SD.mp4,M,0,S,0
videosMale/UCLAPLD_20_AN.mp4,M,0,A,1
videosMale/UCLAPLD_20_H.mp4,M,0,H,5
videosMale/UCLAPLD_20_SD.mp4,M,0,S,0
videosMale/UCLAPLD_37_AN.mp4,M,0,A,1
videosMale/UCLAPLD_37_H.mp4,M,0,H,5
videosMale/UCLAPLD_37_SD.mp4,M,0,S,0
videosMale/UCLAPLD_38_AN.mp4,M,0,A,1
videosMale/UCLAPLD_38_H.mp4,M,0,H,5
videosMale/UCLAPLD_38_SD.mp4,M,0,S,0
videosMale/UCLAPLD_40_AN.mp4,M,0,A,1
videosMale/UCLAPLD_40_H.mp4,M,0,H,5
videosMale/UCLAPLD_40_SD.mp4,M,0,S,0
videosMale/UCLAPLD_41_AN.mp4,M,0,A,1
videosMale/UCLAPLD_41_H.mp4,M,0,H,5
videosMale/UCLAPLD_41_SD.mp4,M,0,S,0
videosMale/UCLAPLD_44_AN.mp4,M,0,A,1
videosMale/UCLAPLD_44_H.mp4,M,0,H,5
videosMale/UCLAPLD_44_SD.mp4,M,0,S,0
videosMale/UCLAPLD_50_AN.mp4,M,0,A,1
videosMale/UCLAPLD_50_H.mp4,M,0,H,5
videosMale/UCLAPLD_50_SD.mp4,M,0,S,0
videosMale/UCLAPLD_51_AN.mp4,M,0,A,1
videosMale/UCLAPLD_51_H.mp4,M,0,H,5
videosMale/UCLAPLD_51_SD.mp4,M,0,S,0
videosMale/UCLAPLD_59_AN.mp4,M,0,A,1
videosMale/UCLAPLD_59_H.mp4,M,0,H,5
videosMale/UCLAPLD_59_SD.mp4,M,0,S,0
videosMale/UCLAPLD_61_AN.mp4,M,0,A,1
videosMale/UCLAPLD_61_H.mp4,M,0,H,5
videosMale/UCLAPLD_61_SD.mp4,M,0,S,0
videosMale/UCLAPLD_64_AN.mp4,M,0,A,1
videosMale/UCLAPLD_64_H.mp4,M,0,H,5
videosMale/UCLAPLD_64_SD.mp4,M,0,S,0
videosMale/UCLAPLD_66_AN.mp4,M,0,A,1
videosMale/UCLAPLD_66_H.mp4,M,0,H,5
videosMale/UCLAPLD_66_SD.mp4,M,0,S,0
videosMale/UCLAPLD_69_AN.mp4,M,0,A,1
videosMale/UCLAPLD_69_H.mp4,M,0,H,5
videosMale/UCLAPLD_69_SD.mp4,M,0,S,0
videosMale/UCLAPLD_70_AN.mp4,M,0,A,1
videosMale/UCLAPLD_70_H.mp4,M,0,H,5
videosMale/UCLAPLD_70_SD.mp4,M,0,S,0
videosMale/UCLAPLD_75_AN.mp4,M,0,A,1
videosMale/UCLAPLD_75_H.mp4,M,0,H,5
videosMale/UCLAPLD_75_SD.mp4,M,0,S,0
videosMale/UCLAPLD_76_AN.mp4,M,0,A,1
videosMale/UCLAPLD_76_H.mp4,M,0,H,5
videosMale/UCLAPLD_76_SD.mp4,M,0,S,0
